asn	country	institution
133	US	AFIT-AS - Air Force Systems Networking
134	US	CORONA-GW-AS - Fleet Analysis Center
135	US	DNIC-AS-00135 - DoD Network Information Center
136	US	AF-ASN-136 - Air Force Systems Networking
137	IT	ASGARR Consortium GARR
138	US	DNIC-AS-00138 - DoD Network Information Center
139	US	DNIC-AS-00139 - Navy Network Information Center (NNIC)
140	US	DNIC-AS-00140 - DoD Network Information Center
141	US	DNIC-AS-00141 - Navy Network Information Center (NNIC)
142	US	DNIC-AS-00142 - Headquarters, USAISC
143	US	OOG1-AS - 1881CS/XPC
144	US	ATT-INTERNET - Lucent Technologies/Bell Laboratories
145	US	VBNS - MCI Communications Corporation
146	US	HQEIS-AS - Air Force Systems Networking
147	US	DNIC-AS-00147 - DoD Network Information Center
148	US	DNIC-AS-00148 - Navy Network Information Center (NNIC)
149	US	DNIC-AS-00149 - DoD Network Information Center
150	US	DNIC-AS-00150 - DoD Network Information Center
151	US	IND-NTC-AS - Hewlett-Packard Company
152	US	SRI-ACCATT-AS - SRI International
153	US	CTNOSC-ASN-153 - Headquarters, USAISC
154	US	DNIC-AS-00154 - Headquarters, USAISC
155	US	DNIC-AS-00155 - DoD Network Information Center
156	US	NORTHEASTERN-GW-AS - Northeastern University
157	US	INTELLIAUTON - Silicon Graphics International Corp.
158	US	ERI-AS - Ericsson Network Systems, Inc.
159	US	OSUNET-AS - The Ohio State University
160	US	U-CHICAGO-AS - University of Chicago
161	US	TI-AS - Texas Instruments, Inc.
162	US	DNIC-AS-00162 - Navy Network Information Center (NNIC)
163	US	IBM-RESEARCH-AS - International Business Machines Corporation
164	US	DNIC-AS-00164 - DoD Network Information Center
165	US	DNIC-AS-00165 - DoD Network Information Center
166	US	IDA-AS - Institute for Defense Analyses
167	US	WESLEYAN-AS - Wesleyan University
168	US	UMASS-AMHERST - University of Massachusetts
169	US	HANSCOM-NET-AS - Air Force Systems Networking
170	US	DNIC-AS-00170 - DoD Network Information Center
171	US	SOX-RES - Southern Light Rail, Inc.
172	US	DNIC-AS-00172 - Headquarters, USAISC
173	JP	ERX-ECLNET Electrical Communications Laboratories
174	US	COGENT-174 - Cogent Communications
175	US	PL-AS - Air Force Systems Networking
176	US	BCN-AS - Information Systems and Networks Corporation
177	US	UMICH-AS-1 - University of Michigan
178	US	UMICH-AS-2 - University of Michigan
179	US	UMICH-AS-3 - University of Michigan
180	US	UMICH-AS-4 - University of Michigan
181	US	MERIT-AS-1 - Merit Network Inc.
182	US	MERIT-AS-2 - Merit Network Inc.
183	US	MERIT-AS-3 - Merit Network Inc.
184	US	MERIT-AS-4 - Merit Network Inc.
185	US	MERIT-AS-5 - Merit Network Inc.
186	US	CUA-AS - The Catholic University of America
187	US	DNSCAST-AS - DNScast
188	US	SAIC-AS - SAIC
189	US	LVLT-189 - Level 3 Parent, LLC
190	US	DNIC-AS-00190 - Navy Network Information Center (NNIC)
191	US	DNIC-AS-00191 - Navy Network Information Center (NNIC)
192	US	ROCHINSTTECH - Rochester Institute of Technology
193	US	FORD-ASN - Lockheed Martin Western Development Labs
194	US	NCAR-AS - University Corporation for Atmospheric Research
195	US	SDSC-AS - San Diego Supercomputer Center
196	US	BOEING196 - The Boeing Company
197	US	RAYTHEON-AS-2 - Raytheon Company
198	US	DNIC-AS-00198 - DoD Network Information Center
199	US	LVLT-199-203 - Level 3 Parent, LLC
200	US	LVLT-199-203 - Level 3 Parent, LLC
201	US	LVLT-199-203 - Level 3 Parent, LLC
202	US	LVLT-199-203 - Level 3 Parent, LLC
203	US	LVLT-199-203 - Level 3 Parent, LLC
204	US	PSCNET-AS - Pittsburgh Supercomputing Center
205	US	MONTCLAIR-AS - Montclair State University
206	US	CSC-IGN-AMER - Computer Sciences Corporation
207	US	CLI-GW-AS - Computational Logic, Inc.
208	US	DNIC-AS-00208 - Navy Network Information Center (NNIC)
209	US	CENTURYLINK-US-LEGACY-QWEST - CenturyLink Communications, LLC
210	US	WEST-NET-WEST - Utah Education Network
211	US	RADC-LONS-GW-AS - Rome Air Development Center
212	US	HQAFSC-LONS-GW-AS - Headquarters, Air Force Systems Command
213	US	DNIC-AS-00213 - Headquarters, USAISC
214	US	DNIC-AS-00214 - Navy Network Information Center (NNIC)
215	US	DNIC-AS-00215 - Headquarters, USAISC
216	US	LMSC-HOSTNET-AS - Air Force Systems Networking
217	US	UMN-SYSTEM - University of Minnesota
218	US	AFOTECPCNET-AS - Air Force Systems Networking
219	US	DNIC-AS-00219 - Navy Network Information Center (NNIC)
220	US	OOALC-HOSTNET-AS - Air Force Systems Networking
221	US	WRALC-HOSTNET-AS - Air Force Systems Networking
222	US	SMALC-HOSTNET-AS - Air Force Systems Networking
223	US	AS223 - Parsons Corporation
224	NO	UNINETT UNINETT, The Norwegian University & Research Network
225	US	VIRGINIA-AS - University of Virginia
226	US	LOS-NETTOS-AS - Los Nettos
227	US	DNIC-AS-00227 - Headquarters, USAISC
228	US	DNIC-AS-00228 - DoD Network Information Center
229	US	MERIT-AS-6 - Merit Network Inc.
230	US	MERIT-AS-7 - Merit Network Inc.
231	US	MERIT-AS-8 - Merit Network Inc.
232	US	MERIT-AS-9 - Merit Network Inc.
233	US	MERIT-AS-10 - Merit Network Inc.
234	US	BLACKROSE-1 - Blackrose Society
235	US	MERIT-AS-12 - Merit Network Inc.
236	US	MERIT-AS-13 - Merit Network Inc.
237	US	MERIT-AS-14 - Merit Network Inc.
238	US	MERIT-AS-15 - Merit Network Inc.
239	CA	UTORONTO-AS - University of Toronto
240	US	SAALC-HOSTNET-AS - Air Force Systems Networking
241	US	OCALC-HOSTNET-AS - Air Force Systems Networking
242	US	SSSD-AS - SUPSHIP
243	US	HARRIS-ATD-AS - Harris Government Systems Sector
244	US	DNIC-AS-00244 - DoD Network Information Center
245	US	PRC-AS - Planning Research Corporation
246	US	ASIFICS-GW-AS - Air Force Systems Networking
247	US	ROMENET-AS - Rome Air Development Center
248	DE	IDDQD-AS IDDQD-AS
249	GB	PETERCOM-AS AS249
250	DE	SACREDCHAO-AS AS250.net Foundation
251	GB	DENISKLIMEK-AS Denis Klimek
252	US	DNIC-AS-00252 - Headquarters, USAISC
253	US	NTTA-253 - NTT America, Inc.
254	US	TWG-NET-AS - Attachmate Corp.
255	US	PAFB-GW - Air Force Systems Networking
256	US	DNIC-AS-00256 - Navy Network Information Center (NNIC)
257	US	DNIC-AS-00257 - Navy Network Information Center (NNIC)
258	US	BRAGGSRI-EGP-AS - Headquarters, USAISC
259	US	SCUBED-AS - SCUBED
260	US	XCONNECT24 - Xconnect24 Inc.
261	FR	FR-CINES-MONTPELLIER
262	US	VERIO - NTT America, Inc.
263	US	NTTA-263 - NTT America, Inc.
264	US	SRINET-AS - SRI International
265	US	DSI-WR-16 - Advanced Info. Technology Servcies
266	US	DHC-USA-INC - DHC USA INCORPORATED
267	US	NETHER-NET - Nether.Net
268	US	USUHSNET-AS - Uniformed Services University of the Health Sciences
269	US	INCSYS-AS - Incremental Systems Corporation
270	US	AS270 - National Aeronautics and Space Administration
271	CA	BCNET-AS - BCnet
272	US	CTNOSC-ASN-272 - Headquarters, USAISC
273	US	DNIC-AS-00273 - DoD Network Information Center
274	US	AINET-AS274 - Advanced Information Technology Services, LLC
275	US	NTTA-275 - NTT America, Inc.
276	US	OTS-AS-276 - University of Texas System
277	US	CSC-300-AS277 - Computer Sciences Corporation
278	MX	Universidad Nacional Autonoma de Mexico
279	US	LVLT-279 - Level 3 Parent, LLC
280	US	NTTA-280 - NTT America, Inc.
281	US	LVLT-281 - Level 3 Parent, LLC
282	US	MERIT-AUX-AS - Merit Technology, Inc.
283	US	MPOWERLABS - MPower Labs, Inc.
284	US	UUNET-IPV6 - MCI Communications Services, Inc. d/b/a Verizon Business
285	US	DNIC-AS-00285 - Headquarters, USAISC
286	NL	KPN
287	US	DNIC-AS-00287 - Navy Network Information Center (NNIC)
288	DE	ESA Robert Bosch Strasse 5
289	US	DNIC-AS-00289 - Headquarters, USAISC
290	US	SHOWNET-AS - Interop Show Network
291	US	ESNET-EAST - ESnet
292	US	ESNET-WEST - ESnet
293	US	ESNET - ESnet
294	FR	FRANCE-IP-NET-AS Institut National de Recherche en Informatique et Automatique
295	US	USTCCLOUD - DoD Network Information Center
296	US	ACFP-AS - Air Force Systems Networking
297	US	AS297 - National Aeronautics and Space Administration
298	US	RADC-LONEX-AS - Air Force Systems Networking
299	US	UCINET-AS - University of California, Irvine
300	US	DNIC-AS-00300 - DoD Network Information Center
301	US	C3PO-AS - Air Force Systems Networking
302	US	BCM-INFO-NET-AS - Baylor College of Medicine
303	US	DNIC-AS-00303 - DoD Network Information Center
304	US	SRIEXPRIGNET-AS - SRI International
305	US	DNIC-AS-00305 - Headquarters, USAISC
306	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
307	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
308	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
309	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
310	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
311	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
312	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
313	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
314	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
315	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
316	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
317	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
318	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
319	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
320	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
321	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
322	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
323	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
324	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
325	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
326	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
327	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
328	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
329	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
330	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
331	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
332	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
333	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
334	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
335	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
336	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
337	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
338	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
339	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
340	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
341	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
342	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
343	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
344	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
345	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
346	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
347	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
348	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
349	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
350	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
351	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
352	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
353	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
354	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
355	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
356	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
357	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
358	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
359	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
360	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
361	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
362	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
363	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
364	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
365	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
366	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
367	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
368	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
369	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
370	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
371	US	DNIC-ASBLK-00306-00371 - DoD Network Information Center
372	US	AS372 - National Aeronautics and Space Administration
373	US	MITRE-AS-4 - The MITRE Corporation
374	US	BROOKS-AS - Air Force Systems Networking
375	FI	TIETOTIE-AS P.O.Box 38. FI-00441 Helsinki Finland.
376	CA	RISQ-AS - Reseau d'informations scientifiques du Quebec (RISQ)
377	US	SNLA-NET-AS - Sandia National Laboratories
378	IL	MACHBA-AS ILAN
379	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
380	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
381	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
382	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
383	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
384	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
385	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
386	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
387	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
388	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
389	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
390	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
391	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
392	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
393	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
394	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
395	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
396	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
397	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
398	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
399	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
400	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
401	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
402	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
403	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
404	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
405	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
406	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
407	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
408	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
409	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
410	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
411	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
412	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
413	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
414	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
415	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
416	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
417	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
418	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
419	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
420	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
421	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
422	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
423	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
424	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
425	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
426	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
427	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
428	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
429	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
430	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
431	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
432	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
433	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
434	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
435	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
436	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
437	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
438	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
439	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
440	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
441	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
442	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
443	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
444	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
445	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
446	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
447	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
448	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
449	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
450	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
451	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
452	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
453	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
454	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
455	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
456	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
457	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
458	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
459	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
460	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
461	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
462	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
463	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
464	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
465	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
466	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
467	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
468	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
469	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
470	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
471	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
472	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
473	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
474	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
475	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
476	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
477	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
478	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
479	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
480	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
481	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
482	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
483	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
484	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
485	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
486	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
487	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
488	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
489	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
490	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
491	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
492	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
493	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
494	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
495	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
496	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
497	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
498	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
499	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
500	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
501	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
502	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
503	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
504	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
505	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
506	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
507	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
508	US	AFCONC-BLOCK1-AS - Air Force Systems Networking
509	US	DNIC-AS-00509 - DoD Network Information Center
510	US	INTERNET - Voya Investment Management LLC
511	US	SCOEC-ASN - Greenville Health System
